message,label,category,source
"Hongera! Umeshinda TZS 5,000,000 katika bahati nasibu ya Vodacom. Tuma TZS 50,000 ili upokee zawadi yako. Piga simu: 0754XXXXXX",SCAM,prize_scam,synthetic
"Mpendwa mteja, akaunti yako ya M-Pesa imezuiwa. Tuma PIN yako kwa nambari hii ili kufungua: 0712XXXXXX",SCAM,pin_phishing,synthetic
"Leo tu! Tuma TZS 10,000 upate TZS 100,000 ndani ya saa 2. Haraka kabla ya muda kwisha! Wasiliana: 0768XXXXXX",SCAM,money_doubling,synthetic
"Umeshinda kura ya Airtel. Ili kupokea TZS 2,000,000 wasiliana na wakala wetu sasa hivi na utoe namba yako ya siri.",SCAM,prize_scam,synthetic
"Double pesa yako! Tuma yoyote upate mara mbili. Imani ya kweli. Wasiliana WhatsApp: 0756XXXXXX",SCAM,money_doubling,synthetic
"BENKI YA CRDB: Akaunti yako itafungwa kesho. Thibitisha kwa kutuma nywila yako kwa: 0700XXXXXX au bonyeza hapa: bit.ly/XXXXXX",SCAM,bank_impersonation,synthetic
"Mama/Baba nimepata ajali. Niko hospitali. Tuma TZS 200,000 haraka kwa nambari hii: 0745XXXXXX. Nitaeleza baadaye.",SCAM,emergency_scam,synthetic
"Congratulations! Your number won Tigo prize of TZS 3,000,000. Call our agent NOW: 0789XXXXXX. Offer expires today!",SCAM,prize_scam,synthetic
"Habari, mimi ni wakala wa NMB. Akaunti yako ina tatizo. Tuma OTP uliyopokea ili nikuaidie kutatua tatizo.",SCAM,otp_phishing,synthetic
"Tuma TZS 5,000 kwa 0723XXXXXX upate TZS 50,000 mara moja. Watu 47 wamefaidika leo. Haraka nafasi ni chache!",SCAM,money_doubling,synthetic
"ONYO: Sim card yako ya Airtel itafutwa saa 6. Thibitisha umiliki wako tuma namba yako ya kitambulisho kwa: 0799XXXXXX",SCAM,sim_swap,synthetic
"Hongera Edward! Umechaguliwa kupata mkopo wa TZS 1,000,000 bila dhamana. Lipa ada ya usajili TZS 30,000 kwanza: 0733XXXXXX",SCAM,loan_scam,synthetic
"Mimi ni John kutoka M-Pesa support. Tunahitaji kuthibitisha akaunti yako. Tuma namba yako ya siri ya M-Pesa sasa.",SCAM,pin_phishing,synthetic
"Fursa ya kipekee! Jiunge na kikundi chetu cha uwekezaji upate faida ya 50% kila wiki. Weka TZS 100,000 leo: 0711XXXXXX",SCAM,investment_fraud,synthetic
"Daktari wako amesema unahitaji dawa ya haraka. Tuma TZS 150,000 kwa 0766XXXXXX akutengenezee kabla ya kesho.",SCAM,medical_scam,synthetic
"Umepata kazi mpya! Kabla ya kuanza lipa deposit ya TZS 50,000 ili kuthibitisha uanachama wako. 0744XXXXXX",SCAM,job_scam,synthetic
"VODACOM TANZANIA: Una bonus ya dakika 1000 zinakusubiri. Bonyeza hapa kuthibitisha: http://voda-tz-bonus.xyz/confirm",SCAM,phishing_link,synthetic
"Tuma TZS 20,000 kwa 0788XXXXXX upate SIM card mpya ya bure na data ya GB 10. Leo tu bei ya chini kabisa!",SCAM,fake_offer,synthetic
"Ndugu yangu, niko nje ya nchi na nimepoteza pesa zangu. Tuma TZS 300,000 nitakurudishia mara nifikapo. Naomba sana.",SCAM,emergency_scam,synthetic
"ALERT: M-Pesa account suspended due to suspicious activity. Send your PIN to 0755XXXXXX to restore access immediately.",SCAM,pin_phishing,synthetic
"Umeshinda Samsung Galaxy S24! Ili kupokea, tuma TZS 75,000 kwa ada ya ushuru kwa: 0722XXXXXX ndani ya saa 24.",SCAM,prize_scam,synthetic
