message,label,category,source
"HONGERA!! Nambari yako 0794216739 imeshinda TZS 909,000 katika mchezo wa bahati nasibu. Piga simu wakala wetu SASA: 0748356787",SCAM,prize_scam,synthetic_ngao_v2
"HONGERA!! Nambari yako 0741246316 imeshinda TZS 2,179,000 katika mchezo wa bahati nasibu. Piga simu wakala wetu SASA: 0799876646",SCAM,prize_scam,synthetic_ngao_v2
"HONGERA!! Nambari yako 0782191161 imeshinda TZS 7,412,000 katika mchezo wa bahati nasibu. Piga simu wakala wetu SASA: 0715131244",SCAM,prize_scam,synthetic_ngao_v2
"HONGERA!! Nambari yako 0722329258 imeshinda TZS 4,311,000 katika mchezo wa bahati nasibu. Piga simu wakala wetu SASA: 0777731262",SCAM,prize_scam,synthetic_ngao_v2
"Vodacom Tanzania inakujulisha umeshinda TZS 1,217,000. Ili kudai zawadi yako tuma TZS 81,000 kama ada ya kisheria kwa: 0737850800",SCAM,prize_scam,synthetic_ngao_v2
"Vodacom Tanzania inakujulisha umeshinda TZS 6,323,000. Ili kudai zawadi yako tuma TZS 99,000 kama ada ya kisheria kwa: 0782539898",SCAM,prize_scam,synthetic_ngao_v2
"Vodacom Tanzania inakujulisha umeshinda TZS 2,805,000. Ili kudai zawadi yako tuma TZS 67,000 kama ada ya kisheria kwa: 0788391704",SCAM,prize_scam,synthetic_ngao_v2
"Vodacom Tanzania inakujulisha umeshinda TZS 7,630,000. Ili kudai zawadi yako tuma TZS 10,000 kama ada ya kisheria kwa: 0732832052",SCAM,prize_scam,synthetic_ngao_v2
"CONGRATULATIONS CONSOLATA! Airtel Money inatangaza ushindi wako wa TZS 4,787,000. Wasiliana sasa kabla muda haujamalizika: 0748263032",SCAM,prize_scam,synthetic_ngao_v2
"CONGRATULATIONS PATRICK! Airtel Money inatangaza ushindi wako wa TZS 8,254,000. Wasiliana sasa kabla muda haujamalizika: 0756207175",SCAM,prize_scam,synthetic_ngao_v2
"CONGRATULATIONS MOSES! Airtel Money inatangaza ushindi wako wa TZS 5,112,000. Wasiliana sasa kabla muda haujamalizika: 0723476417",SCAM,prize_scam,synthetic_ngao_v2
"CONGRATULATIONS AMINA! Airtel Money inatangaza ushindi wako wa TZS 6,945,000. Wasiliana sasa kabla muda haujamalizika: 0746946335",SCAM,prize_scam,synthetic_ngao_v2
"Tigo Promotion 2026: Umechaguliwa kupata zawadi ya TZS 3,177,000. Kuthibitisha umiliki wako tuma nambari yako ya kitambulisho na PIN: 0771662275",SCAM,prize_scam,synthetic_ngao_v2
"Tigo Promotion 2026: Umechaguliwa kupata zawadi ya TZS 3,511,000. Kuthibitisha umiliki wako tuma nambari yako ya kitambulisho na PIN: 0761182627",SCAM,prize_scam,synthetic_ngao_v2
"Tigo Promotion 2026: Umechaguliwa kupata zawadi ya TZS 5,261,000. Kuthibitisha umiliki wako tuma nambari yako ya kitambulisho na PIN: 0750969693",SCAM,prize_scam,synthetic_ngao_v2
"Tigo Promotion 2026: Umechaguliwa kupata zawadi ya TZS 5,574,000. Kuthibitisha umiliki wako tuma nambari yako ya kitambulisho na PIN: 0792479201",SCAM,prize_scam,synthetic_ngao_v2
"NMB BANK LOTTERY: Akaunti yako imechaguliwa kushinda TZS 9,729,000. Tuma ada ya ushuru TZS 42,000 kwanza. Agent: 0719148050",SCAM,prize_scam,synthetic_ngao_v2
"NMB BANK LOTTERY: Akaunti yako imechaguliwa kushinda TZS 6,866,000. Tuma ada ya ushuru TZS 79,000 kwanza. Agent: 0750183667",SCAM,prize_scam,synthetic_ngao_v2
"NMB BANK LOTTERY: Akaunti yako imechaguliwa kushinda TZS 6,907,000. Tuma ada ya ushuru TZS 36,000 kwanza. Agent: 0761391476",SCAM,prize_scam,synthetic_ngao_v2
"NMB BANK LOTTERY: Akaunti yako imechaguliwa kushinda TZS 8,714,000. Tuma ada ya ushuru TZS 70,000 kwanza. Agent: 0759270555",SCAM,prize_scam,synthetic_ngao_v2
"CRDB Promotion: Wewe ni mshindi wa TZS 7,032,000 katika mchezo wetu. Lipa TZS 42,000 ili kupokea pesa mara moja. 0738802729",SCAM,prize_scam,synthetic_ngao_v2
"CRDB Promotion: Wewe ni mshindi wa TZS 6,187,000 katika mchezo wetu. Lipa TZS 64,000 ili kupokea pesa mara moja. 0795174870",SCAM,prize_scam,synthetic_ngao_v2
"CRDB Promotion: Wewe ni mshindi wa TZS 8,990,000 katika mchezo wetu. Lipa TZS 60,000 ili kupokea pesa mara moja. 0733660086",SCAM,prize_scam,synthetic_ngao_v2
"CRDB Promotion: Wewe ni mshindi wa TZS 6,005,000 katika mchezo wetu. Lipa TZS 30,000 ili kupokea pesa mara moja. 0772497887",SCAM,prize_scam,synthetic_ngao_v2
"Habari njema! Sim card yako imeshinda TV ya Samsung na TZS 1,552,000 taslimu. Ada ya usafirishaji tu TZS 50,000: 0741817870",SCAM,prize_scam,synthetic_ngao_v2
"Habari njema! Sim card yako imeshinda TV ya Samsung na TZS 1,664,000 taslimu. Ada ya usafirishaji tu TZS 18,000: 0742961722",SCAM,prize_scam,synthetic_ngao_v2
"Habari njema! Sim card yako imeshinda TV ya Samsung na TZS 1,065,000 taslimu. Ada ya usafirishaji tu TZS 35,000: 0764380746",SCAM,prize_scam,synthetic_ngao_v2
"Habari njema! Sim card yako imeshinda TV ya Samsung na TZS 1,135,000 taslimu. Ada ya usafirishaji tu TZS 28,000: 0785852787",SCAM,prize_scam,synthetic_ngao_v2
"UN LOTTERY 2026: Your number won USD 50,000. Pay transfer fee TZS 140,000 to release funds. Contact: 0740787277",SCAM,prize_scam,synthetic_ngao_v2
"UN LOTTERY 2026: Your number won USD 50,000. Pay transfer fee TZS 163,000 to release funds. Contact: 0763774079",SCAM,prize_scam,synthetic_ngao_v2
"UN LOTTERY 2026: Your number won USD 50,000. Pay transfer fee TZS 158,000 to release funds. Contact: 0730377746",SCAM,prize_scam,synthetic_ngao_v2
"UN LOTTERY 2026: Your number won USD 50,000. Pay transfer fee TZS 117,000 to release funds. Contact: 0744881177",SCAM,prize_scam,synthetic_ngao_v2
